titles,abstracts,terms,urls
Hierarchical Superpixel Segmentation via Structural Information Theory,"Superpixel segmentation is a foundation for many higher-level computer vision
tasks, such as image segmentation, object recognition, and scene understanding.
Existing graph-based superpixel segmentation methods typically concentrate on
the relationships between a given pixel and its directly adjacent pixels while
overlooking the influence of non-adjacent pixels. These approaches do not fully
leverage the global information in the graph, leading to suboptimal
segmentation quality. To address this limitation, we present SIT-HSS, a
hierarchical superpixel segmentation method based on structural information
theory. Specifically, we first design a novel graph construction strategy that
incrementally explores the pixel neighborhood to add edges based on
1-dimensional structural entropy (1D SE). This strategy maximizes the retention
of graph information while avoiding an overly complex graph structure. Then, we
design a new 2D SE-guided hierarchical graph partitioning method, which
iteratively merges pixel clusters layer by layer to reduce the graph's 2D SE
until a predefined segmentation scale is achieved. Experimental results on
three benchmark datasets demonstrate that the SIT-HSS performs better than
state-of-the-art unsupervised superpixel segmentation algorithms. The source
code is available at \url{https://github.com/SELGroup/SIT-HSS}.",['cs.CV'],http://arxiv.org/abs/2501.07069v1
UNetVL: Enhancing 3D Medical Image Segmentation with Chebyshev KAN Powered Vision-LSTM,"3D medical image segmentation has progressed considerably due to
Convolutional Neural Networks (CNNs) and Vision Transformers (ViTs), yet these
methods struggle to balance long-range dependency acquisition with
computational efficiency. To address this challenge, we propose UNETVL (U-Net
Vision-LSTM), a novel architecture that leverages recent advancements in
temporal information processing. UNETVL incorporates Vision-LSTM (ViL) for
improved scalability and memory functions, alongside an efficient Chebyshev
Kolmogorov-Arnold Networks (KAN) to handle complex and long-range dependency
patterns more effectively. We validated our method on the ACDC and AMOS2022
(post challenge Task 2) benchmark datasets, showing a significant improvement
in mean Dice score compared to recent state-of-the-art approaches, especially
over its predecessor, UNETR, with increases of 7.3% on ACDC and 15.6% on AMOS,
respectively. Extensive ablation studies were conducted to demonstrate the
impact of each component in UNETVL, providing a comprehensive understanding of
its architecture. Our code is available at https://github.com/tgrex6/UNETVL,
facilitating further research and applications in this domain.","['cs.CV', 'cs.AI']",http://arxiv.org/abs/2501.07017v1
PointSAM: Pointly-Supervised Segment Anything Model for Remote Sensing Images,"Segment Anything Model (SAM) is an advanced foundational model for image
segmentation, which is gradually being applied to remote sensing images (RSIs).
Due to the domain gap between RSIs and natural images, traditional methods
typically use SAM as a source pre-trained model and fine-tune it with fully
supervised masks. Unlike these methods, our work focuses on fine-tuning SAM
using more convenient and challenging point annotations. Leveraging SAM's
zero-shot capabilities, we adopt a self-training framework that iteratively
generates pseudo-labels for training. However, if the pseudo-labels contain
noisy labels, there is a risk of error accumulation. To address this issue, we
extract target prototypes from the target dataset and use the Hungarian
algorithm to match them with prediction prototypes, preventing the model from
learning in the wrong direction. Additionally, due to the complex backgrounds
and dense distribution of objects in RSI, using point prompts may result in
multiple objects being recognized as one. To solve this problem, we propose a
negative prompt calibration method based on the non-overlapping nature of
instance masks. In brief, we use the prompts of overlapping masks as
corresponding negative signals, resulting in refined masks. Combining the above
methods, we propose a novel Pointly-supervised Segment Anything Model named
PointSAM. We conduct experiments on RSI datasets, including WHU, HRSID, and
NWPU VHR-10, and the results show that our method significantly outperforms
direct testing with SAM, SAM2, and other comparison methods. Furthermore, we
introduce PointSAM as a point-to-box converter and achieve encouraging results,
suggesting that this method can be extended to other point-supervised tasks.
The code is available at https://github.com/Lans1ng/PointSAM.",['cs.CV'],http://arxiv.org/abs/2409.13401v2
RSRefSeg: Referring Remote Sensing Image Segmentation with Foundation Models,"Referring remote sensing image segmentation is crucial for achieving
fine-grained visual understanding through free-format textual input, enabling
enhanced scene and object extraction in remote sensing applications. Current
research primarily utilizes pre-trained language models to encode textual
descriptions and align them with visual modalities, thereby facilitating the
expression of relevant visual features. However, these approaches often
struggle to establish robust alignments between fine-grained semantic concepts,
leading to inconsistent representations across textual and visual information.
To address these limitations, we introduce a referring remote sensing image
segmentation foundational model, RSRefSeg. RSRefSeg leverages CLIP for visual
and textual encoding, employing both global and local textual semantics as
filters to generate referring-related visual activation features in the latent
space. These activated features then serve as input prompts for SAM, which
refines the segmentation masks through its robust visual generalization
capabilities. Experimental results on the RRSIS-D dataset demonstrate that
RSRefSeg outperforms existing methods, underscoring the effectiveness of
foundational models in enhancing multimodal task comprehension. The code is
available at \url{https://github.com/KyanChen/RSRefSeg}.",['cs.CV'],http://arxiv.org/abs/2501.06809v1
Static Segmentation by Tracking: A Frustratingly Label-Efficient Approach to Fine-Grained Segmentation,"We study image segmentation in the biological domain, particularly trait and
part segmentation from specimen images (e.g., butterfly wing stripes or beetle
body parts). This is a crucial, fine-grained task that aids in understanding
the biology of organisms. The conventional approach involves hand-labeling
masks, often for hundreds of images per species, and training a segmentation
model to generalize these labels to other images, which can be exceedingly
laborious. We present a label-efficient method named Static Segmentation by
Tracking (SST). SST is built upon the insight: while specimens of the same
species have inherent variations, the traits and parts we aim to segment show
up consistently. This motivates us to concatenate specimen images into a
``pseudo-video'' and reframe trait and part segmentation as a tracking problem.
Concretely, SST generates masks for unlabeled images by propagating annotated
or predicted masks from the ``pseudo-preceding'' images. Powered by Segment
Anything Model 2 (SAM~2) initially developed for video segmentation, we show
that SST can achieve high-quality trait and part segmentation with merely one
labeled image per species -- a breakthrough for analyzing specimen images. We
further develop a cycle-consistent loss to fine-tune the model, again using one
labeled image. Additionally, we highlight the broader potential of SST,
including one-shot instance segmentation on images taken in the wild and
trait-based image retrieval.","['cs.CV', 'cs.AI']",http://arxiv.org/abs/2501.06749v1
Multi-task Visual Grounding with Coarse-to-Fine Consistency Constraints,"Multi-task visual grounding involves the simultaneous execution of
localization and segmentation in images based on textual expressions. The
majority of advanced methods predominantly focus on transformer-based
multimodal fusion, aiming to extract robust multimodal representations.
However, ambiguity between referring expression comprehension (REC) and
referring image segmentation (RIS) is error-prone, leading to inconsistencies
between multi-task predictions. Besides, insufficient multimodal understanding
directly contributes to biased target perception. To overcome these challenges,
we propose a Coarse-to-fine Consistency Constraints Visual Grounding
architecture ($\text{C}^3\text{VG}$), which integrates implicit and explicit
modeling approaches within a two-stage framework. Initially, query and pixel
decoders are employed to generate preliminary detection and segmentation
outputs, a process referred to as the Rough Semantic Perception (RSP) stage.
These coarse predictions are subsequently refined through the proposed
Mask-guided Interaction Module (MIM) and a novel explicit bidirectional
consistency constraint loss to ensure consistent representations across tasks,
which we term the Refined Consistency Interaction (RCI) stage. Furthermore, to
address the challenge of insufficient multimodal understanding, we leverage
pre-trained models based on visual-linguistic fusion representations. Empirical
evaluations on the RefCOCO, RefCOCO+, and RefCOCOg datasets demonstrate the
efficacy and soundness of $\text{C}^3\text{VG}$, which significantly
outperforms state-of-the-art REC and RIS methods by a substantial margin. Code
and model will be available at \url{https://github.com/Dmmm1997/C3VG}.","['cs.CV', 'cs.AI']",http://arxiv.org/abs/2501.06710v1
RobustEMD: Domain Robust Matching for Cross-domain Few-shot Medical Image Segmentation,"Few-shot medical image segmentation (FSMIS) aims to perform the limited
annotated data learning in the medical image analysis scope. Despite the
progress has been achieved, current FSMIS models are all trained and deployed
on the same data domain, as is not consistent with the clinical reality that
medical imaging data is always across different data domains (e.g. imaging
modalities, institutions and equipment sequences). How to enhance the FSMIS
models to generalize well across the different specific medical imaging
domains? In this paper, we focus on the matching mechanism of the few-shot
semantic segmentation models and introduce an Earth Mover's Distance (EMD)
calculation based domain robust matching mechanism for the cross-domain
scenario. Specifically, we formulate the EMD transportation process between the
foreground support-query features, the texture structure aware weights
generation method, which proposes to perform the sobel based image gradient
calculation over the nodes, is introduced in the EMD matching flow to restrain
the domain relevant nodes. Besides, the point set level distance measurement
metric is introduced to calculated the cost for the transportation from support
set nodes to query set nodes. To evaluate the performance of our model, we
conduct experiments on three scenarios (i.e., cross-modal, cross-sequence and
cross-institution), which includes eight medical datasets and involves three
body regions, and the results demonstrate that our model achieves the SoTA
performance against the compared models.",['cs.CV'],http://arxiv.org/abs/2410.01110v3
PGP-SAM: Prototype-Guided Prompt Learning for Efficient Few-Shot Medical Image Segmentation,"The Segment Anything Model (SAM) has demonstrated strong and versatile
segmentation capabilities, along with intuitive prompt-based interactions.
However, customizing SAM for medical image segmentation requires massive
amounts of pixel-level annotations and precise point- or box-based prompt
designs. To address these challenges, we introduce PGP-SAM, a novel
prototype-based few-shot tuning approach that uses limited samples to replace
tedious manual prompts. Our key idea is to leverage inter- and intra-class
prototypes to capture class-specific knowledge and relationships. We propose
two main components: (1) a plug-and-play contextual modulation module that
integrates multi-scale information, and (2) a class-guided cross-attention
mechanism that fuses prototypes and features for automatic prompt generation.
Experiments on a public multi-organ dataset and a private ventricle dataset
demonstrate that PGP-SAM achieves superior mean Dice scores compared with
existing prompt-free SAM variants, while using only 10\% of the 2D slices.","['cs.CV', 'cs.AI']",http://arxiv.org/abs/2501.06692v1
Imbalanced Medical Image Segmentation with Pixel-dependent Noisy Labels,"Accurate medical image segmentation is often hindered by noisy labels in
training data, due to the challenges of annotating medical images. Prior
research works addressing noisy labels tend to make class-dependent
assumptions, overlooking the pixel-dependent nature of most noisy labels.
Furthermore, existing methods typically apply fixed thresholds to filter out
noisy labels, risking the removal of minority classes and consequently
degrading segmentation performance. To bridge these gaps, our proposed
framework, Collaborative Learning with Curriculum Selection (CLCS), addresses
pixel-dependent noisy labels with class imbalance. CLCS advances the existing
works by i) treating noisy labels as pixel-dependent and addressing them
through a collaborative learning framework, and ii) employing a curriculum
dynamic thresholding approach adapting to model learning progress to select
clean data samples to mitigate the class imbalance issue, and iii) applying a
noise balance loss to noisy data samples to improve data utilization instead of
discarding them outright. Specifically, our CLCS contains two modules:
Curriculum Noisy Label Sample Selection (CNS) and Noise Balance Loss (NBL). In
the CNS module, we designed a two-branch network with discrepancy loss for
collaborative learning so that different feature representations of the same
instance could be extracted from distinct views and used to vote the class
probabilities of pixels. Besides, a curriculum dynamic threshold is adopted to
select clean-label samples through probability voting. In the NBL module,
instead of directly dropping the suspiciously noisy labels, we further adopt a
robust loss to leverage such instances to boost the performance.","['cs.CV', 'cs.AI']",http://arxiv.org/abs/2501.06678v1
UCloudNet: A Residual U-Net with Deep Supervision for Cloud Image Segmentation,"Recent advancements in meteorology involve the use of ground-based sky
cameras for cloud observation. Analyzing images from these cameras helps in
calculating cloud coverage and understanding atmospheric phenomena.
Traditionally, cloud image segmentation relied on conventional computer vision
techniques. However, with the advent of deep learning, convolutional neural
networks (CNNs) are increasingly applied for this purpose. Despite their
effectiveness, CNNs often require many epochs to converge, posing challenges
for real-time processing in sky camera systems. In this paper, we introduce a
residual U-Net with deep supervision for cloud segmentation which provides
better accuracy than previous approaches, and with less training consumption.
By utilizing residual connection in encoders of UCloudNet, the feature
extraction ability is further improved.","['cs.CV', 'eess.IV']",http://arxiv.org/abs/2501.06440v1
EditAR: Unified Conditional Generation with Autoregressive Models,"Recent progress in controllable image generation and editing is largely
driven by diffusion-based methods. Although diffusion models perform
exceptionally well in specific tasks with tailored designs, establishing a
unified model is still challenging. In contrast, autoregressive models
inherently feature a unified tokenized representation, which simplifies the
creation of a single foundational model for various tasks. In this work, we
propose EditAR, a single unified autoregressive framework for a variety of
conditional image generation tasks, e.g., image editing, depth-to-image,
edge-to-image, segmentation-to-image. The model takes both images and
instructions as inputs, and predicts the edited images tokens in a vanilla
next-token paradigm. To enhance the text-to-image alignment, we further propose
to distill the knowledge from foundation models into the autoregressive
modeling process. We evaluate its effectiveness across diverse tasks on
established benchmarks, showing competitive performance to various
state-of-the-art task-specific methods. Project page:
https://jitengmu.github.io/EditAR/",['cs.CV'],http://arxiv.org/abs/2501.04699v1
GLoG-CSUnet: Enhancing Vision Transformers with Adaptable Radiomic Features for Medical Image Segmentation,"Vision Transformers (ViTs) have shown promise in medical image semantic
segmentation (MISS) by capturing long-range correlations. However, ViTs often
struggle to model local spatial information effectively, which is essential for
accurately segmenting fine anatomical details, particularly when applied to
small datasets without extensive pre-training. We introduce Gabor and Laplacian
of Gaussian Convolutional Swin Network (GLoG-CSUnet), a novel architecture
enhancing Transformer-based models by incorporating learnable radiomic
features. This approach integrates dynamically adaptive Gabor and Laplacian of
Gaussian (LoG) filters to capture texture, edge, and boundary information,
enhancing the feature representation processed by the Transformer model. Our
method uniquely combines the long-range dependency modeling of Transformers
with the texture analysis capabilities of Gabor and LoG features. Evaluated on
the Synapse multi-organ and ACDC cardiac segmentation datasets, GLoG-CSUnet
demonstrates significant improvements over state-of-the-art models, achieving a
1.14% increase in Dice score for Synapse and 0.99% for ACDC, with minimal
computational overhead (only 15 and 30 additional parameters, respectively).
GLoG-CSUnet's flexible design allows integration with various base models,
offering a promising approach for incorporating radiomics-inspired feature
extraction in Transformer architectures for medical image analysis. The code
implementation is available on GitHub at: https://github.com/HAAIL/GLoG-CSUnet.","['cs.CV', 'cs.AI', 'cs.LG']",http://arxiv.org/abs/2501.02788v2
BEN: Using Confidence-Guided Matting for Dichotomous Image Segmentation,"Current approaches to dichotomous image segmentation (DIS) treat image
matting and object segmentation as fundamentally different tasks. As
improvements in image segmentation become increasingly challenging to achieve,
combining image matting and grayscale segmentation techniques offers promising
new directions for architectural innovation. Inspired by the possibility of
aligning these two model tasks, we propose a new architectural approach for DIS
called Confidence-Guided Matting (CGM). We created the first CGM model called
Background Erase Network (BEN). BEN is comprised of two components: BEN Base
for initial segmentation and BEN Refiner for confidence refinement. Our
approach achieves substantial improvements over current state-of-the-art
methods on the DIS5K validation dataset, demonstrating that matting-based
refinement can significantly enhance segmentation quality. This work opens new
possibilities for cross-pollination between matting and segmentation techniques
in computer vision.","['cs.CV', 'eess.IV']",http://arxiv.org/abs/2501.06230v1
Gaussian Building Mesh (GBM): Extract a Building's 3D Mesh with Google Earth and Gaussian Splatting,"Recently released open-source pre-trained foundational image segmentation and
object detection models (SAM2+GroundingDINO) allow for geometrically consistent
segmentation of objects of interest in multi-view 2D images. Users can use
text-based or click-based prompts to segment objects of interest without
requiring labeled training datasets. Gaussian Splatting allows for the learning
of the 3D representation of a scene's geometry and radiance based on 2D images.
Combining Google Earth Studio, SAM2+GroundingDINO, 2D Gaussian Splatting, and
our improvements in mask refinement based on morphological operations and
contour simplification, we created a pipeline to extract the 3D mesh of any
building based on its name, address, or geographic coordinates.","['cs.CV', 'cs.GR']",http://arxiv.org/abs/2501.00625v2
LM-Net: A Light-weight and Multi-scale Network for Medical Image Segmentation,"Current medical image segmentation approaches have limitations in deeply
exploring multi-scale information and effectively combining local detail
textures with global contextual semantic information. This results in
over-segmentation, under-segmentation, and blurred segmentation boundaries. To
tackle these challenges, we explore multi-scale feature representations from
different perspectives, proposing a novel, lightweight, and multi-scale
architecture (LM-Net) that integrates advantages of both Convolutional Neural
Networks (CNNs) and Vision Transformers (ViTs) to enhance segmentation
accuracy. LM-Net employs a lightweight multi-branch module to capture
multi-scale features at the same level. Furthermore, we introduce two modules
to concurrently capture local detail textures and global semantics with
multi-scale features at different levels: the Local Feature Transformer (LFT)
and Global Feature Transformer (GFT). The LFT integrates local window
self-attention to capture local detail textures, while the GFT leverages global
self-attention to capture global contextual semantics. By combining these
modules, our model achieves complementarity between local and global
representations, alleviating the problem of blurred segmentation boundaries in
medical image segmentation. To evaluate the feasibility of LM-Net, extensive
experiments have been conducted on three publicly available datasets with
different modalities. Our proposed model achieves state-of-the-art results,
surpassing previous methods, while only requiring 4.66G FLOPs and 5.4M
parameters. These state-of-the-art results on three datasets with different
modalities demonstrate the effectiveness and adaptability of our proposed
LM-Net for various medical image segmentation tasks.",['cs.CV'],http://arxiv.org/abs/2501.03838v1
Image Segmentation: Inducing graph-based learning,"This study explores the potential of graph neural networks (GNNs) to enhance
semantic segmentation across diverse image modalities. We evaluate the
effectiveness of a novel GNN-based U-Net architecture on three distinct
datasets: PascalVOC, a standard benchmark for natural image segmentation,
WoodScape, a challenging dataset of fisheye images commonly used in autonomous
driving, introducing significant geometric distortions; and ISIC2016, a dataset
of dermoscopic images for skin lesion segmentation. We compare our proposed
UNet-GNN model against established convolutional neural networks (CNNs) based
segmentation models, including U-Net and U-Net++, as well as the
transformer-based SwinUNet. Unlike these methods, which primarily rely on local
convolutional operations or global self-attention, GNNs explicitly model
relationships between image regions by constructing and operating on a graph
representation of the image features. This approach allows the model to capture
long-range dependencies and complex spatial relationships, which we hypothesize
will be particularly beneficial for handling geometric distortions present in
fisheye imagery and capturing intricate boundaries in medical images. Our
analysis demonstrates the versatility of GNNs in addressing diverse
segmentation challenges and highlights their potential to improve segmentation
accuracy in various applications, including autonomous driving and medical
image analysis.","['cs.CV', 'eess.IV']",http://arxiv.org/abs/2501.03765v1
